#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CHH
sample	bin	methType	mCount	tCount	value
S3	0	CHH	172491	1167546	0.147738
S3	1	CHH	172198	1150165	0.149716
S3	2	CHH	174124	1123480	0.154986
S3	3	CHH	163636	1083649	0.151005
S3	4	CHH	173170	1103077	0.156988
S3	5	CHH	172122	1091575	0.157682
S3	6	CHH	168697	1071938	0.157376
S3	7	CHH	166827	1065598	0.156557
S3	8	CHH	162248	1022761	0.158637
S3	9	CHH	159613	1004509	0.158897
S3	10	CHH	159230	953401	0.167013
S3	11	CHH	150873	924925	0.163119
S3	12	CHH	148094	914158	0.162000
S3	13	CHH	148732	910031	0.163436
S3	14	CHH	133480	887363	0.150423
S3	15	CHH	128493	885317	0.145138
S3	16	CHH	115463	866807	0.133205
S3	17	CHH	86680	849321	0.102058
S3	18	CHH	70417	856246	0.082239
S3	19	CHH	58674	924184	0.063487
S3	20	CHH	84201	1604978	0.052462
S3	21	CHH	76899	1813269	0.042409
S3	22	CHH	82530	2003805	0.041187
S3	23	CHH	85128	2161440	0.039385
S3	24	CHH	84699	2342268	0.036161
S3	25	CHH	89632	2423112	0.036990
S3	26	CHH	92795	2510386	0.036964
S3	27	CHH	85203	2443797	0.034865
S3	28	CHH	87962	2385642	0.036871
S3	29	CHH	91324	2424943	0.037660
S3	30	CHH	88131	2319473	0.037996
S3	31	CHH	86915	2248532	0.038654
S3	32	CHH	100121	2290510	0.043711
S3	33	CHH	94751	2206358	0.042945
S3	34	CHH	96738	2146543	0.045067
S3	35	CHH	91803	2071829	0.044310
S3	36	CHH	99211	2110426	0.047010
S3	37	CHH	105003	2098300	0.050042
S3	38	CHH	113791	2044286	0.055663
S3	39	CHH	106950	1701380	0.062861
S3	40	CHH	90108	1125951	0.080028
S3	41	CHH	95482	1080968	0.088330
S3	42	CHH	107863	1079360	0.099932
S3	43	CHH	111711	1032952	0.108147
S3	44	CHH	116902	1038499	0.112568
S3	45	CHH	120491	1054106	0.114306
S3	46	CHH	126121	1055776	0.119458
S3	47	CHH	130314	1085937	0.120001
S3	48	CHH	144247	1114312	0.129449
S3	49	CHH	136885	1102017	0.124213
S3	50	CHH	144385	1141576	0.126479
S3	51	CHH	146053	1125500	0.129767
S3	52	CHH	146104	1111512	0.131446
S3	53	CHH	152044	1110177	0.136955
S3	54	CHH	155378	1119939	0.138738
S3	55	CHH	148753	1118340	0.133012
S3	56	CHH	148423	1131636	0.131158
S3	57	CHH	143749	1144672	0.125581
S3	58	CHH	152608	1183121	0.128988
S3	59	CHH	156988	1189257	0.132005
