#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CHG
sample	bin	methType	mCount	tCount	value
S5	0	CHG	183735	278322	0.660153
S5	1	CHG	176210	272374	0.646941
S5	2	CHG	187213	277123	0.675559
S5	3	CHG	179179	271205	0.660677
S5	4	CHG	175384	263977	0.664391
S5	5	CHG	172446	261569	0.659275
S5	6	CHG	173827	271897	0.639312
S5	7	CHG	164508	253131	0.649893
S5	8	CHG	170264	277405	0.613774
S5	9	CHG	147436	234794	0.627938
S5	10	CHG	153320	239884	0.639142
S5	11	CHG	136766	219606	0.622779
S5	12	CHG	131501	217038	0.605889
S5	13	CHG	138358	229635	0.602513
S5	14	CHG	151502	247371	0.612449
S5	15	CHG	131452	232475	0.565446
S5	16	CHG	118049	232298	0.508179
S5	17	CHG	126478	251485	0.502925
S5	18	CHG	114215	254041	0.449593
S5	19	CHG	115507	299261	0.385974
S5	20	CHG	196850	670995	0.293370
S5	21	CHG	180004	850346	0.211683
S5	22	CHG	173179	912106	0.189867
S5	23	CHG	195747	983278	0.199076
S5	24	CHG	187943	1027742	0.182870
S5	25	CHG	188446	1050555	0.179378
S5	26	CHG	188166	1037959	0.181285
S5	27	CHG	171378	1010138	0.169658
S5	28	CHG	176658	990920	0.178277
S5	29	CHG	185532	977254	0.189850
S5	30	CHG	203833	967966	0.210579
S5	31	CHG	185525	944303	0.196468
S5	32	CHG	205004	941013	0.217855
S5	33	CHG	208862	916654	0.227853
S5	34	CHG	195403	877001	0.222808
S5	35	CHG	194056	860052	0.225633
S5	36	CHG	206560	885625	0.233236
S5	37	CHG	214898	885763	0.242613
S5	38	CHG	224287	827589	0.271013
S5	39	CHG	243850	667405	0.365370
S5	40	CHG	122189	279077	0.437833
S5	41	CHG	123819	253958	0.487557
S5	42	CHG	133970	256748	0.521796
S5	43	CHG	135030	246040	0.548813
S5	44	CHG	139454	249915	0.558006
S5	45	CHG	152615	265993	0.573756
S5	46	CHG	147514	255401	0.577578
S5	47	CHG	147180	256032	0.574850
S5	48	CHG	151135	258093	0.585583
S5	49	CHG	152530	277905	0.548857
S5	50	CHG	151887	254453	0.596916
S5	51	CHG	155997	256093	0.609142
S5	52	CHG	169943	272830	0.622890
S5	53	CHG	159423	262067	0.608329
S5	54	CHG	167505	270524	0.619187
S5	55	CHG	154086	253386	0.608108
S5	56	CHG	159626	264136	0.604333
S5	57	CHG	161656	265744	0.608315
S5	58	CHG	169002	273048	0.618946
S5	59	CHG	166284	266130	0.624822
