#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CG
sample	bin	methType	mCount	tCount	value
S5	0	CG	287671	339881	0.846387
S5	1	CG	283183	339407	0.834346
S5	2	CG	275881	327116	0.843374
S5	3	CG	284520	335888	0.847068
S5	4	CG	283485	338843	0.836626
S5	5	CG	275309	334179	0.823837
S5	6	CG	279753	337594	0.828667
S5	7	CG	281038	333827	0.841867
S5	8	CG	263575	318585	0.827330
S5	9	CG	269692	331350	0.813919
S5	10	CG	249142	304153	0.819134
S5	11	CG	233770	295160	0.792011
S5	12	CG	217655	279936	0.777517
S5	13	CG	211358	279342	0.756628
S5	14	CG	192844	269282	0.716141
S5	15	CG	171902	255811	0.671988
S5	16	CG	172437	273936	0.629479
S5	17	CG	161616	281081	0.574980
S5	18	CG	142568	282119	0.505347
S5	19	CG	141677	322458	0.439366
S5	20	CG	301775	778778	0.387498
S5	21	CG	315628	982900	0.321119
S5	22	CG	353166	973954	0.362611
S5	23	CG	397596	913200	0.435388
S5	24	CG	452167	908158	0.497895
S5	25	CG	505241	918949	0.549803
S5	26	CG	530943	900078	0.589886
S5	27	CG	558001	899539	0.620319
S5	28	CG	571227	876171	0.651958
S5	29	CG	600727	891081	0.674155
S5	30	CG	623995	896221	0.696251
S5	31	CG	615188	886378	0.694047
S5	32	CG	661621	909997	0.727058
S5	33	CG	649747	895774	0.725347
S5	34	CG	634580	884857	0.717155
S5	35	CG	628213	883127	0.711351
S5	36	CG	646159	933929	0.691872
S5	37	CG	658548	936657	0.703083
S5	38	CG	612394	890114	0.687995
S5	39	CG	448346	648927	0.690904
S5	40	CG	180955	302319	0.598556
S5	41	CG	169256	254702	0.664526
S5	42	CG	189115	257001	0.735853
S5	43	CG	211585	282253	0.749629
S5	44	CG	214851	277476	0.774305
S5	45	CG	209019	278336	0.750959
S5	46	CG	220438	280674	0.785388
S5	47	CG	236945	301833	0.785020
S5	48	CG	261590	334324	0.782445
S5	49	CG	253266	366324	0.691372
S5	50	CG	233368	307440	0.759068
S5	51	CG	246448	303847	0.811092
S5	52	CG	250493	297175	0.842914
S5	53	CG	256716	304121	0.844125
S5	54	CG	250189	298472	0.838233
S5	55	CG	268561	317322	0.846336
S5	56	CG	268260	319944	0.838459
S5	57	CG	262906	312098	0.842383
S5	58	CG	284885	337052	0.845226
S5	59	CG	279808	333744	0.838391
